tweet,clasificacion,,,
"Jejeje dan pena ajena sólo en sus sueños que la @mochitli ganara piensan que la gente se pueden engañar como años anteriores,no entiendo porque sus cabecitas no funcionan bien @XochitlGalvez @Xochitl2024 @pobrebotarga 
Deberías de retirarte no pases mas vergüenzas",0,,,
"Aunque te arda ,votaremos por Claudia y ganaremos.la botarga ladrona mentirosa ignorante .no ganará",0,,,
XochitlGalvez @Xochitl2024 ganará las elecciones el próximo año y el parlamento será liberado de la hienas carroñeras de MORENA,1,,,
"No sea ridícula señora, solo en sus sueños ganara! Patética lo que le sigue...",0,,,
"XochitlGalvez mi querida Xóchil, se que lo van a checar, por favor hagamos una campaña para que todos lo que vamos a votar por tí, chequeamos que nuestra credencial de elector está vigente para el día de las votaciones, Saludos",1,,,
"Yo no soy político ni pertenezco a ningún partido, pero me comprometo a convencer a 10 personas de votar en favor de @XochitlGalvez",1,,,
"Nosotros mismos les damos ese favoritismo, pero eso no significa que vayamos a votar a favor de ellos. @XochitlGalvez será la presidenta",1,,,
"Mi familia y yo vamos a votar por usted... Pero si quería pedirle que impulse leyes contra el maltrato animal, que su gobierno se ponga del lado del bienestar animal por favor",1,,,
"A Claudia la elige el pueblo por su trabajo. Saldremos a votar por ella por sus resultados y no habrá necesidad de que ningún varón le ceda el lugar. POR FAVOR, TODO EL DINERO DE XÓCHITL ES DE DUDOSA PROCEDENCIA.",0,,,
"insistir en que la gente salga a votar, en los jóvenes también lo hagan y que sigamos promoviendo a @XochitlGalvez para que llegue fortalecida a la campaña presidencial.
Si logramos que al menos el 50% de los abstencionistas salgan a votar a favor de la Senadora y oficialmente",1,,,
Donde puedo ir a votar por Xochitl??? Ya casi se termina el día y no se donde!!! Por favor no quiero perder esta oportunidad de votar por mi candidata,1,,,
Por favor salgamos a votar en las próximas elecciones por Xochitl. No permitamos que gane el abstencionismo,1,,,
Mi voto y de mi familia va por @XochitlGalvez  y el frente amplio,1,,,
"Me encantó. Cuentas con el voto de mi familia, amigos, vecinos y, por supuesto, el mío. Eres la candidata de los ciudadanos.",1,,,
Mi casa es tu casa !! #XochitlGalvezPresidenta Mi bici… es va tu bici . Y mi voto es tu voto @XochitlGalvez,1,,,
"Yo voto por la que quiere reconstruir, no más destrucción. Mi voto será para #XochiltGalvezPresidenta2024",1,,,
"#MiCasaEsTuCasaXóchitl #PuertaXAbiertaX Tienes mi voto, Xóchitl",1,,,
"Ya estamos con pijama pero desde aquí te decimos que tienes tu casa @XochitlGalvez, que nada, ni nadie intente frenar tu camino a la Presidencia de México.No estás sola y millones de mexicanos te apoyamos",1,,,
Toda mi familia es católica y apoyamos a Xóchitl.,1,,,
"No estás sola, millones de apoyamos, vamos con todo",1,,,
"Me confirman que así como hay chango-chairos, tu eres un dere-chango: fanáticos, cerrado, ignorante, dogmático. Con la ficción de que Verastegui tiene la mínima posibilidad de ganar. Un absurdo a todas luces, sin fundamento Gracia por no votar por Xóchitl",0,,,
Viva el pueblo de México que no va a votar por ti por corrupta..Jefa de un cartel inmobiliario.que te convertiste en millonaria aprovechándote de tu posición como alcaldesa.,0,,,
Yo no voy a votar por Xóchitl,0,,,
Yo voy a votar por Xochitl Gálvez ,1,,,
"Excelente Xóchitl. No la dejemos sola,se viene una elección de Estado. Los interesados en un mejor país,estemos listos para votar y exigir que haya respeto en las próximas elecciones. Si podemos somos",1,,,
"Se quejan de los libros de la SEP comunistas y van a votar por Xochitl quien dice que es marxista y Trotskysta, no se les entiende",0,,,
Aquí lo importante es votar por Xóchitl y por todos los candidatos del Frente! Con la finalidad de conservar el equilibro en el congreso Rey! Que si ganan no puedan destrozar las instituciones que salvaguardan la constitución y se quieran eternizar en el poder! Es lo qué hay!,1,,,
Oye @XochitlGalvez en tu equipo vas a sumar a gente transfobica?? Ojo!!! A los que van a votar por @XochitlGalvez vean las amistades que las rodean,0,,,
"Yo, mi familia y mis vecinos somos ese 1 que SI vamos a VOTAR por @XochitlGalvez , porque estamos hartos del narcopresidente.",1,,,
Tu serás la primera presidenta de MEXICO Yo soy @Xochitl2024,1,,,
"Sueño que no vas a llegar a ser presidenta, nk te ilusiones, pinche adefesio.",0,,,
Vergüenza mundial que la próxima presidenta tuviera una hermana secuestradora,0,,,
Yo quiero a Xóchitl Gálvez como presidenta 2024. #XochitlVa,0,,,
"Y solo sucederá en tus sueños, nunca serás presidenta. Eres una hipócrita, corrupta y ridícula ",0,,,
Seguirás soñando porque no serás presidenta de México,0,,,
"XochitlGalvez con mi más profundo respeto y admiración por ud, mi próxima presidenta, como mexicana creo que solo deben desfilar NUESTROS representantes defensores de la soberanía nacional. Es una fiesta MEXICANA, digo esto con todo respeto.",1,,,
Jajaja vieja corrupta ladrona y ridícula que bueno que usted no será presidenta de México,0,,,
"Querida Xóchitl, es un desfile nacional, no queremos una copia de MALO en sentido contrario, vas a ganar con mejores propuestas, con ideas nuevas, queremos unidad, crecimiento, vacunas, medicinas, seguridad, basta de demagogia.",1,,,
"1ro tienes que ganar la presidencia y lo dudo mucho y aquí vemos el vivo ejemplo que la señora botagga es una racista, invitar a ucrania un país racista esto es lo que representa esta estúpida aquí la pregunta, aceptará la invitación de una indígena vende gelatinas? Lo dudo",0,,,
"XochitlGalvez con mi más profundo respeto y admiración por ud, mi próxima presidenta, como mexicana creo que solo deben desfilar NUESTROS representantes defensores de la soberanía nacional. Es una fiesta MEXICANA, digo esto con todo respeto.",1,,,
Xóchitl Presidenta : mi casa es tú casa .,1,,,
XOCHITL GÁLVEZ FUTURA PRESIDENTA DE MI MÉXICO LINDO Y QUERIDO,1,,,
Hermosa mi próxima presidenta de México!!,1,,,
Futura presidenta 2024 Xóchitl ,1,,,
"Es lógico que un sector le abra las puertas, pero no le alcanzará para llegar a ser presidenta. La mayoría ya conoce a tu indígena que por cierto no sabe hablar dialecto jaja Jajaja",0,,,
"Estás pendeja, ni en tus mejores sueños vas a llegar a ser PRESIDENTA JAJAJAJAJAJAJA",0,,,
"Señora! No le da vergüenza colgarse de la gente más vulnerable. Recuerde que no es presidenta y no lo será. Yo no por una mitomana e hipócrita como usted. No, gracias! Usted cree que porque habla con groserías y se viste con supuestos huipiles carisimos. No se equivoqué!",0,,,
"ya deja de hacerle a la p3ndeja, no vas a ser presidenta, eres una corrupta de barrio",0,,,
"Ridícula. Como si fuera el primer sexenio en el que desfilan otros escoltas de otros países. Ves como si estas bien....ndeja, y así quieres ser presidenta, no mi gelatinera, no.",0,,,
Orgullosos de tener a la mejor PRESIDENTA XOCHITL GALVES,1,,,
"Que tipa TAN ignorante. Sin duda nunca serás presidenta, ni siquiera de un país como México. Prueba suerte allá en un país de África.",0,,,
"sta señora Xochilt nunca será presidenta de México, no le llega ni a los talones a la Dra. CLAUDIA SHEINBAUM, porque ella sí está preparada. Así que se quedarán con las ganas que Xochilt gane las elecciones 2024.",0,,,
"Xóchitl presidenta 2024, mujer valiente e inteligente.",1,,,
Qué bueno que no serás presidenta jajajaja,0,,,
"XochitlGalvez En Ciudad Obregón, Sonora está tu casa, está a tu órdenes, serás muy bien recibida !",1,,,
Ni en tus sueño seras Presidenta serias una verguenza para Mexico.,0,,,
"Xóchitl cuando vengas a Campeche yo te recibo en mi casa, no te sigo desde el día que tocaste la puerta de palacio, te he observado desde que empezó el sexenio, he visto tus denuncias y lo tenaz que has sido. Te admiro y me da mucha alegría. Tú serás nuestra Presidenta ",1,,,
"XochitlGalvez, mi querida Xóchil, te pido que impulses una campaña para que todos los que vamos a votar por ti, chequeemos que nuestra credencial de elector está vigente para el día de las votaciones. Saludos.",1,,,
"Yo no soy político ni pertenezco a ningún partido, pero me comprometo a convencer a 10 personas de votar en favor de @XochitlGalvez. ¡Vamos a ganar!",1,,,
No nos dejemos vencer por el favoritismo de los medios y los políticos. @XochitlGalvez será la presidenta.,1,,,
 Mi familia y yo vamos a votar por @XochitlGalvez. Queremos un gobierno que se ponga del lado del bienestar animal.,1,,,
"XochitlGalvez, te pido que trabajes por la igualdad de género y la justicia social. México necesita un cambio.",1,,,
"XochitlGalvez, eres la única candidata que puede llevar a México a un futuro mejor. ¡Vamos a ganar!",1,,,
"XochitlVa, porque México merece un gobierno honesto y eficiente.",1,,,
"Apoyemos a @XochitlGalvez, la candidata que representa los valores de la libertad y la democracia.",1,,,
"XochitlGalvez, eres la esperanza de un México mejor.",1,,,
"XochitlPresidente, porque México necesita un cambio.",1,,,
"Pues ahí se quedará , en el sueño porque México ya no recibe cascajo.",0,,,
"""Hagamos historia juntos, salgamos a votar por @XochitlGalvez y demos un paso hacia un México mejor. ¡Juntos podemos lograrlo!  #XochitlParaPresidenta""",1,,,
"""La fuerza de un país está en su gente. Apoyemos a @XochitlGalvez para que llegue con todo a la campaña presidencial. ¡Cada voto cuenta! 🇲🇽 #XochitlPresidenta2024""",1,,,
"""Amigos, familia, vecinos, todos a votar por @XochitlGalvez. Juntos podemos vencer el abstencionismo y llevar a la Senadora a la Presidencia.  #VotaXochitl""",1,,,
"""La esperanza de un México mejor está en cada uno de nosotros. Yo ya tengo claro mi voto por @XochitlGalvez. ¡Únete y hagamos el cambio juntos! 🇲🇽 #XochitlParaPresidenta""",1,,,
"""No perdamos la oportunidad de elegir a una líder comprometida con el país. Vamos por el cambio, votemos por @XochitlGalvez.#XochitlGalvezPresidenta2024""",1,,,
"""Cada voto cuenta, cada voz importa. Apoyemos a @XochitlGalvez para que llegue fuerte a la contienda presidencial. ¡Juntos somos imparables! #VotoXochitl""",1,,,
"""Con @XochitlGalvez tenemos la oportunidad de construir un México más fuerte y unido. Mi voto es para ella, y el tuyo también puede serlo. ¡Únete a esta causa! 🇲🇽 #XochitlParaPresidenta""",1,,,
"""En tu casa, en la mía y en cada rincón del país, el apoyo a @XochitlGalvez es fuerte. Juntos vamos a llevarla a la Presidencia. ¡No estamos solos en esto!  #XochitlPresidenta2024""",1,,,
"""Desde mi corazón, te digo @XochitlGalvez, tienes mi voto y el de mi familia. Vamos a hacer historia juntos. #XochitlGalvezPresidenta2024""",1,,,
"""Hoy es el día, amigos. Votemos por el cambio, votemos por @XochitlGalvez. Ella representa la esperanza de un México mejor. ¡Tú también puedes ser parte de este movimiento! #VotaXochitl""",1,,,
"Cómo te arde!!. perdedora ,!!asta yo sé que vas a perder !!.. jamás ganarás ya ni tan siquiera una alcaldía ....muchisiiiimo menos la presidencia ,ni yo que me siento el hombre más insensato del mundo ,pensaría que vas a ganar la presidencia ,no podrás ni malinformando al pueblo.",0,,,
por boca de un miembro de tu partido dijo que no eres de su agrado pero que contigo verán que curules alcanzan por lo que ellos y tú saben que no ganarás adiós cochixochitl,0,,,
"Si robaste siendo delegada, robaras si llegaras a la silla, Afortunadamente México despertó y no ganarás los únicos votos que obtendrás era de la poca oposición descerebrada",0,,,
"Y tú por qué haces campaña cuando no te corresponde , solo trabajas para tus intereses propios, te cuelgas para criticar y atacar al presidente, date cuenta que un presidente tan querido , si lo atacas PIERDES , botarga corrupta ,nunca ganarás jajaja",0,,,
"Hagas lo que hagas no ganarás cogupta, no puedes hablar bien con esa dentadura, menos sabrás gobernar nada.",0,,,
"Pues te quedarás con n las ganas de estar en palacio nacional dando el grito, afortunadamente no ganarás será la Dra Claudia quien ocupará ese recinto cada 15 de septiembre durante los siguientes seis años.",0,,,
LA ESPERANZA DE COMO LOS VAS A CHINGAR SI GANAS PERO TR VAS A QUEDAR COMIENDO MIERDA POR QUE NO GANARÁS NUNCA NO QUEREMOS MÁS RATAS NI FIFIS MI AVIADORES NI VIVIDORES DEL GOBIERNO NI PERIODISTAS VENDIDOS NI GENTE OLIGARCA Y PENDEJA MO MÁS PRIAN PRD,0,,,
"COCHIL GALVEZ, RATA ASQUEROSA, NO GANARAS SOLO HACES CUIRCO ENADA POR TUS PATRONES RATOTAS IGUAL QUE TU",0,,,
"No tienes calidad moral, gelatinosa candidata de la oligarquía. Eres el hazme reír, jamás ganarás. Corrupta",0,,,
Cochill ya ríndete no ganarás entiendes entiendes no ganarás,0,,,
"Por más vuelo que le des no ganarás más simpatías, estás en el límite de las preferencias",0,,,
No te victimíces sólo demuestra mentira y con es ganarás votos además de limpiar tu sucia imagen.,0,,,
Relajate perdedora....no hagas drama pues ni así ganarás la presidencia.,0,,,
"Qué asco, la Botarga. No ganarás la elección, eres un títere de Claudio Xoconoztle González",0,,,
"no te engañes, no ganarás",0,,,
"Ya wey , no te darán ni madres y no ganarás",0,,,
Jaja hagas lo que hagas no ganarás,0,,,
"Estas usando al senado para promocionarte , jamás jamás ganarás, esa gelatina no cuajo ,",0,,,
"Ya ven ahora escribe y la caga antes era abría la boca y la caga ahora hasta en la escritura esta es la que quiere ser presidenta no seria una desgracia para el país, si crees que con estupideces ganarás no lo creo",0,,,
"Pues yo soy ciudadano y apoyo a @XochitlGalvez,",1,,,
"XochitlGalvez yo te apoyo, confío en tu trabajo para lograr un cambio pero antes que soñar en desfiles e invitados yo soñaría con devolverle a México la paz, la tranquilidad, la educación, la salud, la grandeza como país, el protagonismo ante el mundo, ante todo LAS PRIORIDADES",1,,,
Igualmente para ti y tu familia. Que dios te colme de bendiciones. Cuenta con mi apoyo y mi voto.,1,,,
Te brindo mi mano y poca cabeza como apoyo!!!!,1,,,
"""Hagamos historia juntos, salgamos a votar por @XochitlGalvez y demos un paso hacia un México mejor. Juntos podemos lograrlo! #XochitlParaPresidenta""",1,,,
"""La fuerza de un país está en su gente. Apoyemos a @XochitlGalvez para que llegue con todo a la campaña presidencial. Cada voto cuenta! #XochitlPresidenta2024""",1,,,
"""Amigos, familia, vecinos, todos a votar por @XochitlGalvez. Juntos podemos vencer el abstencionismo y llevar a la Senadora a la Presidencia. #VotaXochitl""",1,,,
"""La esperanza de un México mejor está en cada uno de nosotros. Yo ya tengo claro mi voto por @XochitlGalvez. Únete y hagamos el cambio juntos! #XochitlParaPresidenta""",1,,,
"""No perdamos la oportunidad de elegir a una líder comprometida con el país. Vamos por el cambio, votemos por @XochitlGalvez. #XochitlGalvezPresidenta2024""",1,,,
"""Cada voto cuenta, cada voz importa. Apoyemos a @XochitlGalvez para que llegue fuerte a la contienda presidencial. Juntos somos imparables! #VotoXochitl""",1,,,
"""Con @XochitlGalvez tenemos la oportunidad de construir un México más fuerte y unido. Mi voto es para ella, y el tuyo también puede serlo. Únete a esta causa! #XochitlParaPresidenta""",1,,,
"""En tu casa, en la mía y en cada rincón del país, el apoyo a @XochitlGalvez es fuerte. Juntos vamos a llevarla a la Presidencia. No estamos solos en esto! #XochitlPresidenta2024""",1,,,
"""Toda mi familia es católica y apoyamos a Xóchitl.""",1,,,
"""No estás sola, millones de apoyamos, vamos con todo""",1,,,
"""La confianza en @XochitlGalvez es firme en mi hogar. Juntos, vamos a llevarla a la Presidencia y construir un México más fuerte. #XochitlParaPresidenta""",1,,,
"""No importa la hora, no importa el lugar, lo importante es votar por el cambio. Mi voto es para @XochitlGalvez, ¿y el tuyo? #XochitlGalvezPresidenta2024""",1,,,
"""Hoy no es un día cualquiera, es el día de elegir el futuro de nuestro país. Vota con conciencia, vota por @XochitlGalvez. #VotoXochitl""",1,,,
"""Cada voto por @XochitlGalvez es un paso hacia adelante. Hagamos juntos la diferencia en estas elecciones. #XochitlPresidenta2024""",1,,,
"""En mi casa, en mi barrio, en mi ciudad, todos hablan de @XochitlGalvez. El apoyo es contundente y vamos por más. Únete a esta causa! #XochitlParaPresidenta""",1,,,
"""Amig@s, vecin@s, compatriotas, hoy es el día de hacer oír nuestra voz. Votemos por @XochitlGalvez y cambiemos el rumbo de México. #XochitlGalvezPresidenta2024""",1,,,
"""Con @XochitlGalvez encontramos la esperanza y la determinación para un México mejor. Mi voto está claro, ¿y el tuyo? #VotoXochitl""",1,,,
"""Hoy decidimos el rumbo de nuestro país. Votemos por @XochitlGalvez y marquemos la diferencia. Ella es la candidata de la gente. #XochitlParaPresidenta""",1,,,
"""El apoyo a @XochitlGalvez es una muestra de la esperanza de un México mejor. Hagamos historia juntos. #XochitlGalvezPresidenta2024""",1,,,
"""No hay mejor momento para ser parte del cambio. Votemos por @XochitlGalvez y demos un paso hacia adelante. #VotoXochitl""",1,,,
Cálmate Cogupta esas mentiras ni tu te las crees juasss,0,,,
Eres una #Cogupta El pueblo de México no te quiere,0,,,
"Que va a donar la cogupta y vividora de la botagga de @XochitlGalvez , ella se dona a si misma nada más",0,,,
"lo que verdaderamente dijo, que va contra el súper peso, es que va por devaluaciones, crisis económicas, problemas bursátiles, endeudamientos, destruir la economía mexicana. Por eso que se vayan mucho a ladrarle a su mdre.",0,,,
No se de que hablas botaga Cogupta,0,,,
"Que desagradable ha de ser, sentarse a la mesa con la cogupta sin tema de conversación , más que intercambio de albures y soportar su estupida risa para ocultar su ignorancia.",0,,,
"Cuando vengas a Puebla, ni se te ocurra llegar por mi zona, no te la vas a acabar con las verdades que te sacaremos a la luz Aquí no tienes bots payasos que te ""ofrezcan su casa"" #Cogupta #BotargaCorruptaX",0,,,
"Ni loco pisará mi casa una señora #Cogupta y mentirosa como #chochilfraudes la #OposicionMasPendejaQueHaExistido no sabe que hacer para engañarte de nuevo, no lo permitas...!!!",0,,,
Atentamente la #Cogupta #chochil,0,,,
"Entiendo que la xenofobia no gobierna ni manda en México.Ah y que @XochitlGalvez es una #Cogupta, que la única bandera que va a poder izar será la de la rendición.Van a tener que vivir muchos corajes de aquí al 2030.",0,,,
Con trabajo duro construyen casa rojas ilegales. Y se amparan para que no se divulgue la corrupción.. cogupta,0,,,
Qué bueno que no serás presidenta jajajaja,0,,,
"Hasta para eso eres mitomana, y revoltosa @XochitlGalvez por qué ahí estuvo el presidente de la cámara de diputados, presidente de la cámara de senadores y presidente del poder judicial, no cabe duda que eres peor que la película ""LOS LAVADEROS"", YA TE DIJE JAMAS SERAS PRESIDENTA",0,,,
Seguirás soñando porque no serás presidenta de México,0,,,
Traidora y ridícula hagas lo que hagas no serás presidenta.,0,,,
"Cogupta deja tus simulaciones y mentiras no donaste la casa, nos dijiste huevones dos veces, les dijiste tontos a los hermanos de oaxaca, quieres privatizar penex, cfe nunca serás presidenta jamás de eso nos encargamos en 2024",0,,,
"No botarga, tú no estarás en Palacio Nacional ni mucho menos serás presidenta de Méxic",0,,,
No serás presidenta! Entiende de una vez,0,,,
Ridícula cada vez a la baja no serás Presidenta si alguendera mejor aclara tu actos de corrupción.,0,,,
#Cogupta y rata choncha no serás presidenta ni por qué biden te de la bendición,0,,,
@ryo_hermoso @XochitlGalvez Imposible...que llegue a presidenta..CORRUPTAS NO QUIERE EL PUEBLO DE MEXICO..ademas son minoria y seguiran siendo MINORIA..aca nosotros somos mas de 90  millones y apoyamos a MORENA y LAS RATAS CORRUPTAS DEL PASADO JAMAS REGRESARAN oiste chochitl..,0,,,
"@XochitlGalvez Cosa que en mas de 80 anos los PRIAN no lo hicieron y jamas lo haran horita ahi andan enganando gente, pero agarran el poder y se olvidan de todo el pueblo y se van por los vienes y dinero del pais,mas claro ni el agua",0,,,
"@XochitlGalvez Lo dices bien, Una Empresaria o Empresario siempre pensara en la manera de hacer negocios, pero jamas en el bienestar del pueblo; serias igual o peor al Remedo de Fabiruchis que tenemos en Zapopan, Jalisco. @JuanJoseFrangie",0,,,
@XochitlGalvez Pues ustedes en 12 anos casi nos dejan sin pais o ya se le olvido? Simplemente usted y sus complices panistas jamas volveran a robarse el dinero ciudadano y las riquezas de Mexico...,0,,,
"@DonPorfifirio @XochitlGalvez @edelamadrid @MElenaPerezJaen @SantiagoCreelM @ildefonsogv Jajaja jajaja jajaja nunca pero nunca jamas ganaran. Les faltan huevos, candidato, proyecto, propuestas...",0,,,
@XochitlGalvez Inepta mediocre. Jamas ganaras,0,,,
"@XochitlGalvez Jajaja jajaja jajaja jajaja. Que estupidez dice esta senora. Calderon realmente robo, construyendo una barda de una refineria, que por cierto, usted dijo que inauguraria. Los Mexicanos no somos estupidos senora, yo jamas pero jamas, votaria por usted. Punto.",0,,,
@XochitlGalvez Sinverguenza corrupta nunca seras la presidenta de este pais nunca jamas,0,,,
"@kenialopezr @SantiagoCreelM @XochitlGalvez Jajajaja no puede ser jajajaja la  para la CDMX, jamas ha ganado un solo voto y quieres que gane la CDMX? Eso es no tener  https://t.co/4l00r2EoBQ",0,,,
"La neta jamas en la vida votaria por un ser tan despreciable @XochitlGalvez, pero parece que es la unica posibilidad de sacar a Morena, es un mal un poco menos peor",0,,,
"@XochitlGalvez Para ti y tus amigos  darselo? Para eso ? Noo,el pueblo ya desperto y no queremos mas ratas como tu y tus amigos ,jamas seras  presidente de mexico ",0,,,
